close,epoch,high,low,open
106677.8003,2025-06-22 09:24:00,106834.1096,106590.1315,106834.1096
106709.6814,2025-06-22 09:25:00,106797.0682,106665.6325,106692.8906
107031.0953,2025-06-22 09:26:00,107031.0953,106762.5158,106762.5158
107184.5846,2025-06-22 09:27:00,107203.7997,107006.2509,107017.201
107239.6182,2025-06-22 09:28:00,107259.1612,107102.7944,107175.7781
107321.1142,2025-06-22 09:29:00,107324.7874,107220.739,107267.0277
107440.4772,2025-06-22 09:30:00,107440.4772,107323.9145,107342.1447
107478.7415,2025-06-22 09:31:00,107527.8702,107398.9341,107433.632
107533.5279,2025-06-22 09:32:00,107566.937,107469.0201,107512.7257
107419.6936,2025-06-22 09:33:00,107550.5514,107345.7371,107525.4275
107439.1773,2025-06-22 09:34:00,107503.5988,107336.6331,107427.8362
107385.745,2025-06-22 09:35:00,107424.9956,107332.0599,107424.9956
107316.7794,2025-06-22 09:36:00,107408.7578,107279.1571,107344.4949
107323.6688,2025-06-22 09:37:00,107404.5658,107298.0765,107324.6107
107450.7131,2025-06-22 09:38:00,107535.2046,107309.2313,107351.6109
107551.8554,2025-06-22 09:39:00,107581.4708,107462.0603,107469.467
107350.9176,2025-06-22 09:40:00,107537.7438,107238.3878,107533.9053
107389.032,2025-06-22 09:41:00,107427.4114,107294.3495,107342.8551
107304.0707,2025-06-22 09:42:00,107365.8222,107276.2825,107365.8222
107175.1851,2025-06-22 09:43:00,107271.3438,107142.6991,107271.3438
107068.3267,2025-06-22 09:44:00,107185.073,107068.3267,107168.4025
106953.7461,2025-06-22 09:45:00,107119.1296,106953.7461,107070.476
106855.6898,2025-06-22 09:46:00,106943.2327,106776.6624,106943.2327
106672.0925,2025-06-22 09:47:00,106831.9344,106672.0925,106831.9344
106635.0366,2025-06-22 09:48:00,106665.5685,106579.2076,106665.5685
106575.748,2025-06-22 09:49:00,106673.0571,106575.748,106608.7492
106566.2863,2025-06-22 09:50:00,106597.9684,106420.354,106553.6796
106674.4556,2025-06-22 09:51:00,106688.8581,106484.2529,106529.0396
106511.8259,2025-06-22 09:52:00,106695.849,106501.4545,106695.849
106527.5817,2025-06-22 09:53:00,106623.4821,106476.5242,106501.0308
106642.4219,2025-06-22 09:54:00,106646.5047,106511.4776,106531.9677
106647.2315,2025-06-22 09:55:00,106697.7276,106607.0126,106653.5377
106753.2725,2025-06-22 09:56:00,106765.5216,106628.8124,106648.2314
106612.6536,2025-06-22 09:57:00,106777.7291,106552.1284,106741.2546
106543.4797,2025-06-22 09:58:00,106625.8842,106501.1186,106580.5464
106525.2431,2025-06-22 09:59:00,106655.3157,106472.3813,106568.6725
106476.2364,2025-06-22 10:00:00,106585.8029,106459.083,106515.6573
106361.3984,2025-06-22 10:01:00,106487.2709,106361.3984,106487.2709
106316.3871,2025-06-22 10:02:00,106325.2691,106254.9171,106325.2691
106368.629,2025-06-22 10:03:00,106375.6525,106301.9968,106328.5986
106335.0426,2025-06-22 10:04:00,106392.4261,106321.8148,106361.4232
106300.962,2025-06-22 10:05:00,106375.8257,106257.4803,106312.5883
106229.9343,2025-06-22 10:06:00,106315.9684,106175.582,106296.4608
106296.2437,2025-06-22 10:07:00,106350.6909,106213.5651,106225.9012
106527.1694,2025-06-22 10:08:00,106530.6076,106325.3263,106325.3263
106574.016,2025-06-22 10:09:00,106618.5019,106514.464,106528.136
106612.7039,2025-06-22 10:10:00,106623.4947,106539.347,106544.4922
106645.4341,2025-06-22 10:11:00,106649.3401,106494.9805,106574.5103
106654.347,2025-06-22 10:12:00,106736.1152,106651.341,106651.341
106740.4632,2025-06-22 10:13:00,106764.319,106646.8026,106646.8026
106703.5635,2025-06-22 10:14:00,106843.3665,106703.5635,106776.916
106497.2553,2025-06-22 10:15:00,106713.417,106467.515,106713.417
106565.7087,2025-06-22 10:16:00,106626.8368,106477.0391,106488.7419
106491.5652,2025-06-22 10:17:00,106596.2506,106465.1828,106559.7112
106504.3349,2025-06-22 10:18:00,106565.7983,106446.6648,106479.7822
106564.4246,2025-06-22 10:19:00,106572.2297,106436.5921,106512.5661
106674.465,2025-06-22 10:20:00,106694.4826,106555.2652,106555.2652
106712.3084,2025-06-22 10:21:00,106748.7405,106655.738,106681.7718
106858.045,2025-06-22 10:22:00,106863.5201,106683.1997,106700.1572
106735.8491,2025-06-22 10:23:00,106918.1771,106707.3681,106853.5101
106835.9022,2025-06-22 10:24:00,106871.0043,106724.5772,106771.4449
106917.8286,2025-06-22 10:25:00,106945.7996,106815.2543,106820.5442
106947.0584,2025-06-22 10:26:00,107020.411,106907.3227,106907.3227
107300.4399,2025-06-22 10:27:00,107323.7726,106963.0677,106965.0095
107339.0428,2025-06-22 10:28:00,107339.0428,107205.7433,107297.7022
107531.2327,2025-06-22 10:29:00,107536.716,107330.4111,107330.4111
107643.2403,2025-06-22 10:30:00,107667.6206,107471.5768,107510.4184
107589.6759,2025-06-22 10:31:00,107769.6493,107581.2035,107660.5169
107506.4306,2025-06-22 10:32:00,107604.471,107372.0809,107600.9786
107539.2496,2025-06-22 10:33:00,107639.1375,107498.7086,107503.8238
107656.4032,2025-06-22 10:34:00,107693.8405,107507.6684,107517.6656
